1,1.687,0.449,Slight-Right-Turn
2,1.687,0.449,Slight-Right-Turn
3,1.687,0.449,Slight-Right-Turn
4,1.687,0.449,Slight-Right-Turn
5,1.686,0.446,Slight-Right-Turn
6,1.684,0.451,Slight-Right-Turn
7,1.68,0.453,Slight-Right-Turn
8,0.753,0.457,Sharp-Right-Turn
9,0.744,0.462,Sharp-Right-Turn
10,0.735,0.467,Sharp-Right-Turn
11,0.729,0.469,Sharp-Right-Turn
12,0.723,0.477,Sharp-Right-Turn
13,0.757,0.48,Sharp-Right-Turn
14,0.76,0.483,Sharp-Right-Turn
15,0.757,0.482,Sharp-Right-Turn
16,0.761,0.482,Sharp-Right-Turn
17,0.762,0.482,Sharp-Right-Turn
18,0.765,0.482,Sharp-Right-Turn
19,0.812,0.481,Sharp-Right-Turn
20,0.814,0.48,Sharp-Right-Turn
21,0.811,0.479,Sharp-Right-Turn
22,0.908,0.478,Slight-Right-Turn
23,1.27,0.477,Slight-Right-Turn
24,1.639,0.476,Slight-Right-Turn
25,1.638,0.475,Slight-Right-Turn
26,1.637,0.474,Slight-Right-Turn
27,1.636,0.475,Slight-Right-Turn
28,1.635,0.475,Slight-Right-Turn
29,1.635,0.475,Slight-Right-Turn
30,1.635,0.475,Slight-Right-Turn
31,1.635,0.475,Slight-Right-Turn
32,1.633,0.475,Slight-Right-Turn
33,1.629,0.474,Slight-Right-Turn
34,1.624,0.473,Slight-Right-Turn
35,1.618,0.473,Slight-Right-Turn
36,1.611,0.473,Slight-Right-Turn
37,1.609,0.472,Slight-Right-Turn
38,1.603,0.471,Slight-Right-Turn
39,0.576,0.471,Sharp-Right-Turn
40,1.581,0.471,Slight-Right-Turn
41,1.572,0.471,Slight-Right-Turn
42,1.562,0.47,Slight-Right-Turn
43,1.553,0.47,Slight-Right-Turn
44,1.179,0.47,Slight-Right-Turn
45,1.167,0.47,Slight-Right-Turn
46,1.159,0.471,Slight-Right-Turn
47,1.151,0.471,Slight-Right-Turn
48,1.143,0.471,Slight-Right-Turn
49,1.136,0.471,Slight-Right-Turn
50,1.128,0.472,Slight-Right-Turn
51,1.477,0.472,Slight-Right-Turn
52,1.129,0.473,Slight-Right-Turn
53,1.457,0.473,Slight-Right-Turn
54,1.448,0.474,Slight-Right-Turn
55,1.438,0.475,Slight-Right-Turn
56,1.428,0.486,Slight-Right-Turn
57,1.418,0.485,Slight-Right-Turn
58,1.409,0.486,Slight-Right-Turn
59,1.399,0.485,Slight-Right-Turn
60,1.39,0.486,Slight-Right-Turn
61,1.38,0.487,Slight-Right-Turn
62,1.37,0.489,Slight-Right-Turn
63,1.361,0.491,Slight-Right-Turn
64,1.354,0.494,Slight-Right-Turn
65,1.344,0.496,Move-Forward
66,1.33,0.498,Move-Forward
67,1.32,0.499,Move-Forward
68,1.31,0.501,Move-Forward
69,1.298,0.504,Move-Forward
70,1.285,0.507,Move-Forward
71,1.271,0.511,Move-Forward
72,1.256,0.515,Move-Forward
73,1.239,0.52,Move-Forward
74,1.223,0.525,Move-Forward
75,1.206,0.53,Move-Forward
76,1.188,0.535,Move-Forward
77,1.17,0.541,Move-Forward
78,1.152,0.548,Move-Forward
79,1.133,0.554,Move-Forward
80,1.114,0.56,Move-Forward
81,1.094,0.567,Move-Forward
82,1.075,0.573,Move-Forward
83,1.056,0.58,Move-Forward
84,1.037,0.586,Move-Forward
85,1.019,0.593,Move-Forward
86,1.001,0.599,Move-Forward
87,0.983,0.606,Move-Forward
88,0.966,0.612,Move-Forward
89,0.948,0.619,Move-Forward
90,0.931,0.625,Move-Forward
91,0.914,0.632,Move-Forward
92,0.898,0.638,Sharp-Right-Turn
93,0.881,0.645,Sharp-Right-Turn
94,0.864,0.652,Sharp-Right-Turn
95,0.847,0.658,Sharp-Right-Turn
96,0.83,0.66,Sharp-Right-Turn
97,0.815,0.662,Sharp-Right-Turn
98,0.801,0.667,Sharp-Right-Turn
99,0.792,0.67,Sharp-Right-Turn
100,0.792,0.665,Sharp-Right-Turn
101,0.795,0.666,Sharp-Right-Turn
102,0.796,0.665,Sharp-Right-Turn
103,0.796,0.665,Sharp-Right-Turn
104,0.796,0.665,Sharp-Right-Turn
105,0.799,0.664,Sharp-Right-Turn
106,0.799,0.664,Sharp-Right-Turn
107,0.798,0.664,Sharp-Right-Turn
108,0.799,0.664,Sharp-Right-Turn
109,0.798,0.663,Sharp-Right-Turn
110,0.797,0.666,Sharp-Right-Turn
111,0.792,0.671,Sharp-Right-Turn
112,0.791,0.684,Sharp-Right-Turn
113,0.79,0.674,Sharp-Right-Turn
114,0.789,0.66,Sharp-Right-Turn
115,0.788,0.66,Sharp-Right-Turn
116,0.787,0.659,Sharp-Right-Turn
117,0.786,0.661,Sharp-Right-Turn
118,0.785,0.665,Sharp-Right-Turn
119,0.788,0.717,Sharp-Right-Turn
120,0.787,0.833,Sharp-Right-Turn
121,0.79,0.779,Sharp-Right-Turn
122,0.814,0.668,Sharp-Right-Turn
123,0.807,0.809,Sharp-Right-Turn
124,0.786,,
